Line #	Activity	Description	Performer	ICOM	
26a	Assist and provide guidance	"Product Owner assists and provide guidance to ensure project is on the right track

"	Project Owner	I:	Step 25: Facilitate Development Phase
				C:	DDOF Playbook, DDOF ODT SOP (TBP)
				O:	Step 27: Refine and maintain ETL data pipelines/ Perform advance transformation
				M:	MS Teams/ Vantage/ SPO
26b	Provide context and documentation for data integration	"KM Specialist integrates data from different sources and provides context and documentation to help data engineers understand the data and its relevance to the problem. 
"	KM Specialist	I:	Step 25: Facilitate Development Phase
				C:	DDOF Playbook, DDOF ODT SOP (TBP)
				O:	Step 27: Refine and maintain ETL data pipelines/ Perform advance transformation
				M:	"MS Teams/ Vantage/ SPO
Data Source Inventory"
26c	Conduct comprehensive quality-assurance	"Data Analyst conducts comprehensive quality-assurance on available data sources.
"	Data Analyst SME	I:	Step 25: Facilitate Development Phase
				C:	DDOF Playbook, DDOF ODT SOP (TBP)
				O:	Step 27: Refine and maintain ETL data pipelines/ Perform advance transformation
				M:	"MS Teams/ Vantage/ SPO
EDA Visuals/ Data Quality Assessment"
26d	Perform Exploratory Data Analysis (EDA)	"ORSA/Data Scientist performs exploratory data analysis to understand data characteristics, identify anomalies, and assess trends.
"	ORSA/Data Scientist SME	I:	Step 25: Facilitate Development Phase
				C:	DDOF Playbook, DDOF ODT SOP (TBP)
				O:	Step 27: Refine and maintain ETL data pipelines/ Perform advance transformation
				M:	"MS Teams/ Vantage/ SPO
EDA Visuals/ Data Quality Assessment"
26e	Assist Data SMEs	SPO/Web Dev assists Data SMEs as needed	SPO/Web Developer	I:	Step 25: Facilitate Development Phase
				C:	DDOF Playbook, DDOF ODT SOP (TBP)
				O:	Step 27: Refine and maintain ETL data pipelines/ Perform advance transformation
				M:	MS Teams/ Vantage/ SPO
27	Refine and maintain ETL data pipelines/ Perform advance transformation	Data Engineer refine and maintain ETL data pipelines to automate the data wrangling process. Implement data quality checks and validation rules. Perform advance transformation	Data Engineer SME	I:	"Step 26a: Assist and provide guidance
Step 26b: Integrate Data
Step 26c: Conduct comprehensive quality-assurance
Step 26d: Perform Exploratory Data Analysis (EDA)
Step 26e: Assist Data SMEs"
				C:	DDOF Playbook, DDOF ODT SOP (TBP)
				O:	Step 28: Is the Data Sufficient?
				M:	"MS Teams/ Vantage/ SPO
Data Req. Doc./ Data Source Inventory/ Data Access Plan/ Data Pipeline/ Curated Datasets"
28	Is the Data Sufficient?	"Decision Point
Data Scientist and Data Engineer run tests to ensure data is sufficient for use.
Is the Data Sufficient?

If Yes, proceed to Step 29
If No, proceed to step 17d"	"ORSA/Data Scientist SME
Data Engineer"	I:	Step 27: Refine and maintain ETL data pipelines/ Perform advance transformation
				C:	DDOF Playbook, DDOF ODT SOP (TBP)
				O:	"Yes, Step 29: All Requirements Met?
No, Step 17d: Connect new data "
				M:	"MS Teams/ Vantage/ SPO
Data Req. Doc./ Data Source Inventory/ Data Access Plan/ Data Pipeline/ Curated Datasets"
29	All Requirements Met?	"Decision Point:
DEC OPS Branch Chief and Project Lead determines if all aspects of Data Wrangling have been satisfied.

If Yes, proceed to Step 25
If No, proceed to Step 20"	"DEC OPS Branch Chief
Project Lead"	I:	Step 28: Is the Data Sufficient?
				C:	DDOF Playbook, DDOF ODT SOP (TBP)
				O:	"Yes, Step 30: Perform Toll Gate Review
No, Step 24: Initiate Data Wrangling Phase"
				M:	"MS Teams/ Vantage/ SPO
Data Req. Doc./ Data Source Inventory/ Data Access Plan/ Data Pipeline/ Curated Datasets"
30	Perform Toll Gate Review	"DEC OPS Branch Chief and Project Lead performs toll gate review using DDOF checklist questions: 
-What processes were applied to clean, normalize, and transform the data?
-How were biases or inconsistencies in the data detected and addressed?
-What methods were used to ensure the processed data improved analytical accuracy?
-What data quality checks and validation rules were used to ensure data integrity?"	"DEC OPS Branch Chief
Project Lead"	I:	Step 29: All Requirements Met?
				C:	DDOF Playbook, DDOF ODT SOP (TBP)
				O:	Step 31: Log Phase details into DDOF Builder App
				M:	"MS Teams
DDOF Checklist"
31	Log Phase details into DDOF Builder App	Project Lead capture Data Wrangling Details and Artifacts in DDOF Builder App 	Project Lead	I:	Step 30: Perform Toll Gate Review
				C:	DDOF Playbook, DDOF ODT SOP (TBP)
				O:	Step 32: Initiate Development Phase
				M:	"DDOF Builder App
Data Req. Doc./ Data Source Inventory/ Data Access Plan/ Data Pipeline/ EDA Visuals/ Data Quality Assessments/ Curated Datasets"
32	Initiate Development Phase	DEC OPS Branch Chief and Project Lead initiates Data Wrangling Phase	"DEC OPS Branch Chief
Project Lead"	I:	Step 31: Log Phase details into DDOF Builder App
				C:	DDOF Playbook, DDOF ODT SOP (TBP)
				O:	Step 33: Facilitate Development Phase
				M:	"MS Teams/ Vantage/ SPO
Data Req. Doc./ Data Source Inventory/ Data Access Plan/ Data Pipeline/ Curated Datasets"
33	Facilitate Development Phase	Project Lead facilitates and coordinate the Development phase	Project Lead	I:	Step 32: Initiate Development Phase
				C:	DDOF Playbook, DDOF ODT SOP (TBP)
				O:	"Step 34a: Develop and train predictive models
Step 34b: Build APIs
Step 34c: Provide website support"
				M:	"MS Teams/ Vantage/ SPO
Data Req. Doc./ Data Source Inventory/ Data Access Plan/ Data Pipeline/ Curated Datasets"
34a	Develop and train predictive models	ORSA/Data Scientist- Develop and train predictive models using appropriate algorithms. Integrate models into data products.	ORSA/Data Scientist SME	I:	Step 33: Facilitate Development Phase
				C:	DDOF Playbook, DDOF ODT SOP (TBP)
				O:	Step 35: Vantage or Power Platform
				M:	"Vantage/ SPO
Data Req. Doc./ Data Source Inventory/ Data Access Plan"
34b	Build APIs	Data Engineer- Build APIs (Application Programming Interface) to enable data product integration with existing Army systems. Implement data quality checks and validation rules.	Data Engineer SME	I:	Step 33: Facilitate Development Phase
				C:	DDOF Playbook, DDOF ODT SOP (TBP)
				O:	Step 35: Vantage or Power Platform
				M:	"Vantage/ SPO
Data Req. Doc./ Data Source Inventory/ Data Access Plan"
34c	 Provide website support	Training & Support Team- Provide necessary graphics and website support	Training & Support Team	I:	Step 23: Facilitate Development Phase
				C:	DDOF Playbook, DDOF ODT SOP (TBP)
				O:	Step 35: Vantage or Power Platform
				M:	"SPO
Infographic"
35	Vantage or Power Platform	"Decision Point:
Product build in Vantage or Power Platform?

Vantage, Step 36a
SPO, Step 36b"	Project Lead	I:	"Step 34a: Develop and train predictive models
Step 34b: Build APIs
Step 34c: Provide website support"
				C:	DDOF Playbook, DDOF ODT SOP (TBP)
				O:	"Vantage, Step 36a: Develop Data Product
SPO, Step 36b: Develop Data Product"
				M:	"Vantage/ SPO
Data Req. Doc./ Data Source Inventory/ Data Access Plan/ DUA"
36a	Develop Data Product	If product is built in Vantage, ORSA/Data Scientist/ Data Engineer- Develop and deploy data products on Army-approved data platforms. Implement user interfaces and data visualization tools.	"ORSA/Data Scientist SME
Data Engineer"	I:	Step 35: Vantage or Power Platform
				C:	DDOF Playbook, DDOF ODT SOP (TBP)
				O:	Step 37: All Requirements Met?
				M:	"Vantage
Operational Data Product/ Model Documentation/ API Documentation/ Dashboard"
36b	Develop Data Product	If product is built in SPO, SPO/ Web Development Team- Develop and deploy data products on Army-approved data platforms. Implement user interfaces and data visualization tools.	SPO/Web Developer	I:	Step 35: Vantage or Power Platform
				C:	DDOF Playbook, DDOF ODT SOP (TBP)
				O:	Step 37: All Requirements Met?
				M:	"Vantage
Operational Data Product/ Model Documentation/ API Documentation/ Dashboard"
37	All Requirements Met?	"Decision Point:
DEC OPS Branch Chief and Project Lead determines if all aspects of Development have been satisfied.

If Yes, proceed to Step 38
If No, proceed to Step 32"	"DEC OPS Branch Chief
Project Lead"	I:	"Vantage, Step 36a: Develop Data Product
SPO, Step 36b: Develop Data Product"
				C:	DDOF Playbook, DDOF ODT SOP (TBP)
				O:	"Yes, Step 38: Perform Toll Gate Review
No, Step 32: Initiate Development Phase"
				M:	"Vantage/ SPO
Operational Data Product/ Model Documentation/ API Documentation/ Dashboard"
38	Perform Toll Gate Review	"DEC OPS Branch Chief and Project Lead performs toll gate review using DDOF checklist questions: 
-What models or analytics approaches were developed and why were they chosen?
-How was the balance between model complexity and interpretability achieved?
-What alternative approaches were considered during the development phase?"	"DEC OPS Branch Chief
Project Lead"	I:	Step 37: All Requirements Met?
				C:	DDOF Playbook, DDOF ODT SOP (TBP)
				O:	Step 39: Log Phase details into DDOF Builder App
				M:	"MS Teams
DDOF Checklist"
39	Log Phase details into DDOF Builder App	Project Lead capture Development Details and Artifacts in DDOF Builder App 	Project Lead	I:	Step 38: Perform Toll Gate Review
				C:	DDOF Playbook, DDOF ODT SOP (TBP)
				O:	Step 40: Initiate Test and Evaluation Phase
				M:	"DDOF Builder App
Operational Data Product/ Model Documentation/ API Documentation/ Dashboard/ Data Req. Doc./ Data Source Inventory/ Data Access Plan"
40	Initiate Test and Evaluation Phase	DEC OPS Branch Chief and Project Lead initiates Test and Evaluation Phase	"DEC OPS Branch Chief
Project Lead"	I:	Step 39: Log Phase details into DDOF Builder App
				C:	DDOF Playbook, DDOF ODT SOP (TBP)
				O:	"Vantage, Step 41a: Develop/ Execute test plans
SPO, Step 41b: Develop/ Execute test plans"
				M:	"MS Teams/ Vantage/ SPO
Operational Data Product/ Model Documentation/ API Documentation/ Dashboard"
41a	Develop/ Execute test plans	If product is built in Vantage, Data Scientist/Data Engineer develop and execute test plans to validate data product functionality, accuracy, and performance.	"ORSA/Data Scientist SME
Data Engineer"	I:	Step 40: Initiate Test and Evaluation Phase
				C:	DDOF Playbook, DDOF ODT SOP (TBP)
				O:	Step 42: Assess/ Evaluate Data Product
				M:	"MS Teams/ Vantage
Test Plan/ Operational Data Product/ Model Documentation/ API Documentation"
41b	Develop/ Execute test plans	If product is built in SPO, SPO/Web Developers develop and execute test plans to validate data product functionality, accuracy, and performance.	SPO/Web Developer	I:	Step 40: Initiate Test and Evaluation Phase
				C:	DDOF Playbook, DDOF ODT SOP (TBP)
				O:	Step 42: Assess/ Evaluate Data Product
				M:	"MS Teams/ SPO
Test Plan/ Operational Data Product/ Model Documentation/ API Documentation"
42	Assess/ Evaluate Data Product	Assess and evaluate the data products using monitoring solutions, troubleshoot and resolve performance and production issues in the data pipelines.	Data Engineer SME	I:	"Vantage, Step 41a: Develop/ Execute test plans
SPO, Step 41b: Develop/ Execute test plans"
				C:	DDOF Playbook, DDOF ODT SOP (TBP)
				O:	Step 43: Assess Data Product usability and accuracy
				M:	"MS Teams/ Vantage/ SPO
Test Plan Results/ Bug Reports/ Operational Data Product/ Model Documentation/ API Documentation"
43	Assess Data Product usability and accuracy	Assess the usability and accuracy of data products by evaluating against the problem frame. 	ORSA/Data Scientist SME	I:	Step 42: Assess/ Evaluate Data Product
				C:	DDOF Playbook, DDOF ODT SOP (TBP)
				O:	Step 44: Assist with data quality checks
				M:	"MS Teams/ Vantage/ SPO
Operational Data Product/ Model Documentation/ API Documentation"
44	Assist with data quality checks	Assist Data Scientist and ORSAs in conducting data quality checks on data product outputs 	Data Analyst SME	I:	Step 43: Assess Data Product usability and accuracy
				C:	DDOF Playbook, DDOF ODT SOP (TBP)
				O:	Step 45: Assist with Product Test and Eval
